1,1.1,अथ,अथ{अव्य},,
2,2.1,अतः,अतः{अव्य},,
3,3.1,द्रव-,द्रव,ద్రవ,
4,3.2,द्रव्य-,द्रव्य,ద్రవ్య,
5,3.3,विज्ञानीयम्,विज्ञानीय{पुं;2;एक(वि_ज्ञा1;अनीयर्;क्र्यादिः)},విజ్ఙానీయమను,
6,4.1,अध्यायम्,अध्याय{पुं;2;एक(अधि_इ4;घञ्;अदादिः)},అధ్యాయమును,
7,5.1,व्याख्यास्यामः,वि_आङ्_ख्या1{कर्तरि;लृट्;उ;बहु;परस्मैपदी;अदादिः},వ్యాఖ్యానించెదము,
8,6.1,.,-,,
9,1.1,इति,इति{अव्य},అని,
10,2.1,ह,ह{अव्य},,
11,3.1,स्म,स्म{अव्य},,
12,4.1,आहुः,ब्रू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः},చెప్పిరి,
13,5.1,आत्रेय-,आत्रेय,ఆత్రేయుడు,
14,5.2,आदयः,आदि{पुं;1;बहु},మొదలగు,
15,6.1,महा-,महत्,మహా,
16,6.2,ऋषयः,ऋषि{पुं;1;बहु},ఋషులు,
17,7.1,.,-,,
18,10.1,लघु,लघु{नपुं;1;एक},లఘు,
19,11.1,अमृत-,अमृत,అమృతము,
20,11.2,उपमम्,उपम{नपुं;1;एक},,
21,12.1,गङ्गा-,गङ्गा,గంగా,
22,12.2,अम्बु,अम्बु{नपुं;1;एक},"జలం, నీరు",
23,13.1,नभसः,नभस्{नपुं;5;एक},ఆకాశము నుండి,
24,14.1,भ्रष्टम्,भ्रष्ट{नपुं;1;एक(भ्रस्ज्1;क्त;तुदादिः)},పడిన,
25,15.1,(च),च{अव्य},మరియు,
26,16.1,(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},ఔతుంది,
27,17.1,.,-,,
28,2.1,जीवनम्,जीवन{नपुं;1;एक},"జీవనము, ఓజోవృద్ధికరం, సౌమ్యధాతువులను వృద్ధి చెందించునది",
29,3.1,तर्पणम्,तर्पण{नपुं;1;एक},"తర్పణము, తృప్తినిచ్చునది",
30,4.1,हृद्यम्,हृद्य{नपुं;1;एक},మనస్సునకు నచ్చేది,
31,5.1,ह्लादि,ह्लादिन्{नपुं;1;एक},"ఆహ్లాదకరం, సుఖజనకం",
32,6.1,बुद्धि-,बुद्धि,బుద్ధి,
33,6.2,प्रबोधनम्,प्रबोधन{नपुं;1;एक},వికసింపజేయునది,
34,7.1,तनु,तनु{नपुं;1;एक},స్వచ్ఛము,
35,8.1,अ-,अ,అ,
36,8.2,व्यक्त-,व्यक्त,వ్యక్త,
37,8.3,रसम्,रस{नपुं;1;एक},రసము(రుచి),
38,9.1,मृष्टम्,मृष्ट{नपुं;1;एक(मृश्1;क्त;तुदादिः)},జిహ్వకు ప్రియమైనది,
39,9.1,शीतम्,शीत{नपुं;1;एक},"శీత వీర్యము,",
40,1.1,स्पृष्टम्,स्पृष्ट{नपुं;1;एक(स्पृश्1;क्त;तुदादिः)},స్ప్రశింపబడినది,
41,2.1,तु,तु{अव्य},,
42,3.1,अर्क-,अर्क,సూర్యుడు,
43,3.2,इन्दु-,इन्दु,చంద్రుడు,
44,3.3,मारुतैः,मारुत{पुं;3;बहु},వాయువులచే,
