Long_Name,Short_Name
आभिमुख्यम्,आभि
अङ्गविकारः,अङ्ग_वि
अनन्तरकालः,अनन्तर_का
अन्यतरद्योतकः,अन्यतर_द्यो
अन्यतरः,अन्यतर
अपवर्ग_सम्बन्धः,अपवर्ग_सं
अपादानम्,अपा
अपादान_वीप्सा,अपा_वीप्सा
    आवश्यकता_परिणाम_सम्बन्धः,वाक्य:आवश्य_परि
    आवश्यकताद्योतकः,वाक्य:आवश्य_द्यो
अवधि_समाप्तिः,अवधि_अन्त
अवधि_प्रारम्भः,अवधि_आदि
अत्यन्तसंयोगः,अत्यन्त_सं
अधिकरणम्,अधिकरण
भावलक्षण_अनन्तरकालः,भाव_अनन्तर
भावलक्षण_पूर्वकालः,भाव_पू
भावलक्षण_समानकालः,भाव_समान
घटकद्योतकः,घटक_द्यो
घटकः,घटक
गौणकर्म,गौण_कर्म
हेतुः,हेतु
कालाधिकरणम्,काल_अधि
         कारण_द्योतकः,वाक्य:कारण_द्यो
करणम्,करण
करण_वीप्सा,करण_वीप्सा
कर्म,कर्म
कर्मप्रवचनीय_अन्वितम्,कर्म_प्र_अन्वितम्
कर्मप्रवचनीयः,कर्म_प्र
कर्मसमानाधिकरणम्,कर्म_स
कर्ता,कर्ता
कर्तृसमानाधिकरणम्,कर्ता_स
	कार्यकारणसम्बन्धः,वाक्य:कार्य_कारण
	कार्यद्योतकः,वाक्य:कार्य_द्यो
क्रियाविशेषणम्,क्रि_वि
ल्यब्लोपकर्माधिकरणम्,ल्यप्_कर्म_अधि
मध्यस्थकर्ता,म_कर्ता
मुख्यकर्म,मुख्य_कर्म
निर्धारणम्,निर्धा
नित्यसम्बन्धः,नित्य_सं
परिणामद्योतकः,परिणाम_द्यो
प्रतिषेधः,प्रतिषेध
प्रयोजककर्ता,प्रयोजक_कर्ता
प्रयोजनद्योतकः,प्रयो_द्यो
प्रयोजनम्,प्रयो
प्रयोज्यकर्ता,प्रयोज्य_कर्ता
पूर्वकालः,पू_का
षष्ठीसम्बन्धः,षष्ठी_सं
सञ्ज्ञा,सञ्ज्ञा
सञ्ज्ञाद्योतकः,सञ्ज्ञा_द्यो
सहार्थद्योतकः,सहार्थ_द्यो
सहार्थः,सहार्थ
	समानकालः,वाक्य:स_का
सम्बन्धः,सं
सम्बोधनद्योतकः,सम्बो_द्यो
सम्बोध्यः,सम्बोध्य
सम्प्रदानम्,सम्प्र
समुच्चयद्योतकः,समु_द्यो
समुच्चितः,समु
सन्दर्भबिन्दुः,सन्दर्भ
उपमानद्योतकः,उपमान_द्यो
उपमानम्,उपमान
उद्गारवाचकः,उद्गार
	वाक्यकर्म,वाक्य:कर्म
	वाक्यकर्मद्योतकः,वाक्य:कर्म_द्यो
वर्तमानसमानकालः,वर्त_समान
विनार्थद्योतकः,विनार्थ_द्यो
विनार्थः,विनार्थ
वीप्सा,वीप्सा
विषयाधिकरणम्,विषय_अधि
	विरोधद्योतकः,वाक्य:विरोध_द्यो
	विरोधकः,वाक्य:विरोधक
विशेषणम्,विशे
विधेयविशेषणम्,वि_विशे
	व्यभिचारः,वाक्य:व्यभिचार
तीव्रतादर्शी,तीव्रता
तुलनाबिन्दुः,तुलना
तुमुन्कर्म,तुमुन्_कर्म
देशाधिकरणम्,देश_अधि
उत्प्रेक्षाद्योतकः,उत्प्रेक्षा_द्यो
अव्यय_पूर्वपद_अव्ययीभावः,A1
अव्यय_उत्तरपद_अव्ययीभावः,A2
तिष्ठद्गुप्रभृति_अव्ययीभावः,A3
सङ्ख्यापूर्वपद_नद्युत्तरपद_अव्ययीभावः,A4
नदी_उत्तरपद_अन्यपदार्थ_संज्ञायाम्_अव्ययीभावः,A5
सङ्ख्या_पूर्वपद_वंश्य_उत्तरपद_अव्ययीभावः,A6
पारे_मध्ये_पूर्वपद_षष्ठी_उत्तरपद_अव्ययीभावः,A7
प्रथमा_तत्पुरुषः,T1
द्वितीया_तत्पुरुषः,T2
तृतीया_तत्पुरुषः,T3
चतुर्थी_तत्पुरुषः,T4
पञ्चमी_तत्पुरुषः,T5
षष्ठी_तत्पुरुषः,T6
सप्तमी_तत्पुरुषः,T7
विशेषण_पूर्वपद_कर्मधारयः,K1
विशेषण_उत्तरपद_कर्मधारयः,K2
विशेषण_उभयपद_कर्मधारयः,K3
उपमान_पूर्वपद_कर्मधारयः,K4
उपमान_उत्तरपद_कर्मधारयः,K5
अवधारणा_पूर्वपद_कर्मधारयः,K6
सम्भावना_पूर्वपद_कर्मधारयः,K7
मध्यमपदलोपि_कर्मधारयः,Km
नञ्_तत्पुरुषः,Tn
प्रादि_तत्पुरुषः,Tp
कु_तत्पुरुषः,Tk
गति_तत्पुरुषः,Tg
तद्धितार्थ_द्विगु_तत्पुरुषः,Tdt
उत्तरपद_द्विगु_तत्पुरुषः,Tdu
समाहार_द्विगु_तत्पुरुषः,Tds
